,task_id,pretty_formula,band_gap,unit_cell_formula,nsites,e_above_hull,elements,volume
20,mp-10694,ScF3,6.0792,"{'Sc': 1.0, 'F': 3.0}",4,0,"['Sc', 'F']",67.4816404096478
65,mp-1112663,Cs2LiYI6,3.0085,"{'Cs': 2.0, 'Li': 1.0, 'Y': 1.0, 'I': 6.0}",10,0,"['Cs', 'I', 'Li', 'Y']",443.690450755453
103,mp-1190639,CsK2Fe3P4ClO14,3.5958,"{'Cs': 1.0, 'K': 2.0, 'Fe': 3.0, 'P': 4.0, 'Cl': 1.0, 'O': 14.0}",25,0,"['Cl', 'Cs', 'Fe', 'K', 'O', 'P']",395.017329296618
132,mp-1206530,ZrNiF6,5.6651,"{'Zr': 1.0, 'Ni': 1.0, 'F': 6.0}",8,0,"['F', 'Ni', 'Zr']",133.401191284773
133,mp-1206523,Rb2MnF4,3.0223,"{'Rb': 2.0, 'Mn': 1.0, 'F': 4.0}",7,0,"['F', 'Mn', 'Rb']",131.542061576251
219,mp-19220,CaSi2NiO6,4.4369,"{'Ca': 2.0, 'Si': 4.0, 'Ni': 2.0, 'O': 12.0}",20,0.005460957,"['Ca', 'Ni', 'O', 'Si']",226.931977663834
244,mp-27994,HgBrO3,3.1924,"{'O': 12.0, 'Br': 4.0, 'Hg': 4.0}",20,0,"['Br', 'Hg', 'O']",395.2889502081
248,mp-28274,Ba3In2F12,4.5144,"{'F': 24.0, 'In': 4.0, 'Ba': 6.0}",34,0,"['Ba', 'F', 'In']",541.951359986932
251,mp-28361,Al2CdCl8,3.7051,"{'Al': 4.0, 'Cl': 16.0, 'Cd': 2.0}",22,0,"['Al', 'Cd', 'Cl']",675.689548073385
259,mp-3416,Na3AlF6,6.7147,"{'F': 12.0, 'Na': 6.0, 'Al': 2.0}",20,0,"['Na', 'Al', 'F']",245.150290498473
260,mp-3771,MgTiO3,3.4987,"{'O': 6.0, 'Mg': 2.0, 'Ti': 2.0}",10,0,"['Mg', 'Ti', 'O']",105.58039053568
305,mp-607931,Cs3NaLi2(BO3)2,3.454,"{'Cs': 6.0, 'Na': 2.0, 'Li': 4.0, 'B': 4.0, 'O': 12.0}",28,0,"['B', 'Cs', 'Li', 'Na', 'O']",492.692463788804
369,mp-770419,Sr2Zr7O16,3.8853,"{'Sr': 2.0, 'Zr': 7.0, 'O': 16.0}",25,0,"['O', 'Sr', 'Zr']",330.634460900377
398,mp-8511,PF5,7.0881,"{'F': 10.0, 'P': 2.0}",12,0,"['P', 'F']",182.963077221233
446,mp-10474,NaPF6,7.0089,"{'F': 6.0, 'Na': 1.0, 'P': 1.0}",8,0,"['Na', 'P', 'F']",123.134998315992
584,mp-1209289,RbGd3F10,4.3862,"{'Rb': 2.0, 'Gd': 6.0, 'F': 20.0}",28,0,"['F', 'Gd', 'Rb']",423.458696865075
587,mp-1210529,Na3ErBr6,4.2104,"{'Na': 6.0, 'Er': 2.0, 'Br': 12.0}",20,0,"['Br', 'Er', 'Na']",619.351562851295
633,mp-1223759,K2MgZr(MoO4)4,3.0522,"{'K': 2.0, 'Mg': 1.0, 'Zr': 1.0, 'Mo': 4.0, 'O': 16.0}",24,0,"['K', 'Mg', 'Mo', 'O', 'Zr']",441.500192419622
646,mp-1228193,Ba3Sr(MoO4)4,4.021,"{'Ba': 3.0, 'Sr': 1.0, 'Mo': 4.0, 'O': 16.0}",24,0.005696337083336,"['Ba', 'Mo', 'O', 'Sr']",408.02462564974
675,mp-19334,Na4WO5,3.8015,"{'O': 10.0, 'Na': 8.0, 'W': 2.0}",20,0,"['Na', 'O', 'W']",252.249141128025
690,mp-28433,RbClO4,5.4768,"{'O': 16.0, 'Cl': 4.0, 'Rb': 4.0}",24,0,"['Cl', 'O', 'Rb']",431.783937092934
693,mp-28904,Na2Te4O9,3.1228,"{'O': 18.0, 'Na': 4.0, 'Te': 8.0}",30,0,"['Na', 'O', 'Te']",497.151267329716
696,mp-29185,Te2O3F2,3.3405,"{'O': 6.0, 'F': 4.0, 'Te': 4.0}",14,0,"['F', 'O', 'Te']",223.304228961188
706,mp-40143,Cs2KZrOF5,4.8766,"{'Cs': 2.0, 'F': 5.0, 'K': 1.0, 'O': 1.0, 'Zr': 1.0}",10,0,"['Cs', 'K', 'Zr', 'O', 'F']",212.496072080457
715,mp-552234,SrBiBrO2,3.1599,"{'Bi': 2.0, 'O': 4.0, 'Sr': 2.0, 'Br': 2.0}",10,0,"['Bi', 'Br', 'O', 'Sr']",221.422963506483
716,mp-554116,BaPb2BrF5,3.2598,"{'Ba': 2.0, 'Pb': 4.0, 'Br': 2.0, 'F': 10.0}",18,0.001673445555556,"['Ba', 'Br', 'F', 'Pb']",360.529772476374
720,mp-556766,ErMoO4F,3.7314,"{'Er': 4.0, 'Mo': 4.0, 'O': 16.0, 'F': 4.0}",28,0,"['Er', 'F', 'Mo', 'O']",397.418122454614
759,mp-676448,CsTiZnOF5,3.1474,"{'Cs': 2.0, 'Ti': 2.0, 'Zn': 2.0, 'O': 2.0, 'F': 10.0}",18,0,"['Cs', 'F', 'O', 'Ti', 'Zn']",292.733353185108
815,mp-770997,Li2HfO3,4.1342,"{'Li': 2.0, 'Hf': 1.0, 'O': 3.0}",6,0.008519464166669,"['Li', 'Hf', 'O']",62.1773451214578
929,mp-11625,KCa(PO3)3,5.0398,"{'O': 18.0, 'P': 6.0, 'K': 2.0, 'Ca': 2.0}",28,0,"['Ca', 'K', 'O', 'P']",435.570976028972
968,mp-1190968,Y3TaO7,3.536,"{'Y': 6.0, 'Ta': 2.0, 'O': 14.0}",22,0.005693435909091,"['O', 'Ta', 'Y']",297.645666997679
1095,mp-1190195,LiIn(WO4)2,3.3852,"{'Li': 2.0, 'In': 2.0, 'W': 4.0, 'O': 16.0}",24,0,"['In', 'Li', 'O', 'W']",292.487584333071
1159,mp-1216100,Y2BeAlBO7,5.0791,"{'Y': 4.0, 'Be': 2.0, 'Al': 2.0, 'B': 2.0, 'O': 14.0}",24,0,"['Al', 'B', 'Be', 'O', 'Y']",259.142693731945
1209,mp-1223648,K2BrCl,4.4921,"{'K': 2.0, 'Br': 1.0, 'Cl': 1.0}",4,0.0034764375,"['Br', 'Cl', 'K']",139.856420611582
1271,mp-12829,LiCaGaF6,6.4009,"{'Li': 2.0, 'F': 12.0, 'Ca': 2.0, 'Ga': 2.0}",18,0,"['Ca', 'F', 'Ga', 'Li']",228.675124685622
1273,mp-13109,SrHfO3,3.9893,"{'O': 6.0, 'Sr': 2.0, 'Hf': 2.0}",10,0.001341591999999,"['Sr', 'Hf', 'O']",139.213159395773
1286,mp-17464,SrGeO3,3.387,"{'O': 18.0, 'Ge': 6.0, 'Sr': 6.0}",30,0,"['Ge', 'O', 'Sr']",496.682878588341
1299,mp-18641,NaMnCrF6,3.2799,"{'F': 18.0, 'Na': 3.0, 'Cr': 3.0, 'Mn': 3.0}",27,0,"['Cr', 'F', 'Mn', 'Na']",370.033386929888
1302,mp-19276,BaMoO4,4.1466,"{'O': 8.0, 'Ba': 2.0, 'Mo': 2.0}",12,0,"['Ba', 'Mo', 'O']",211.533809944284
1322,mp-23398,BClF6,3.3033,"{'B': 4.0, 'F': 24.0, 'Cl': 4.0}",32,0,"['B', 'Cl', 'F']",482.850373147539
1339,mp-29432,NaScCl4,3.8132,"{'Na': 4.0, 'Cl': 16.0, 'Sc': 4.0}",24,0,"['Cl', 'Na', 'Sc']",642.004912637797
1363,mp-556292,Ba2Ni2ClF7,4.0759,"{'Ba': 4.0, 'Ni': 4.0, 'Cl': 2.0, 'F': 14.0}",24,7.29983333336293E-05,"['Ba', 'Cl', 'F', 'Ni']",388.597860325396
1513,mp-1029718,CsC2N3,4.0731,"{'Cs': 3.0, 'C': 6.0, 'N': 9.0}",18,0.009018629305556,"['C', 'Cs', 'N']",487.49958954339
1553,mp-1111501,K3AsF6,4.346,"{'K': 3.0, 'As': 1.0, 'F': 6.0}",10,0.002321473875,"['As', 'F', 'K']",192.630030508234
1605,mp-1190441,LiSbF4,5.1701,"{'Li': 4.0, 'Sb': 4.0, 'F': 16.0}",24,0.001104885625002,"['F', 'Li', 'Sb']",345.966118199553
1674,mp-1221444,Na2BrClO6,4.6667,"{'Na': 4.0, 'Br': 2.0, 'Cl': 2.0, 'O': 12.0}",20,0.005450550000004,"['Br', 'Cl', 'Na', 'O']",307.124586270943
1737,mp-22994,LiIO3,3.6546,"{'Li': 4.0, 'I': 4.0, 'O': 12.0}",20,0.00440121775,"['I', 'Li', 'O']",303.548769796393
1748,mp-26989,LiCoPO4,3.1402,"{'Li': 4.0, 'O': 16.0, 'P': 4.0, 'Co': 4.0}",28,0.00255668375,"['Co', 'Li', 'O', 'P']",349.121863451001
1753,mp-28555,RbSF5,4.6838,"{'F': 20.0, 'S': 4.0, 'Rb': 4.0}",28,0,"['F', 'Rb', 'S']",502.384222373011
1780,mp-3955,AlPO4,5.6141,"{'O': 12.0, 'Al': 3.0, 'P': 3.0}",18,0.008828798333334,"['Al', 'P', 'O']",247.058583534158
1804,mp-5479,RbAlF4,6.8786,"{'F': 4.0, 'Al': 1.0, 'Rb': 1.0}",6,0.0010012105,"['Rb', 'Al', 'F']",88.2616535495472
1817,mp-556583,CsSb2F7,4.3013,"{'Cs': 2.0, 'Sb': 4.0, 'F': 14.0}",20,0,"['Cs', 'F', 'Sb']",394.775005753443
1962,mp-8039,AlF3,7.4251,"{'Al': 3.0, 'F': 9.0}",12,6.4250000000321E-05,"['Al', 'F']",144.814616315057
1973,mp-8945,YSnF7,4.7535,"{'F': 14.0, 'Y': 2.0, 'Sn': 2.0}",18,0.003730566944445,"['F', 'Sn', 'Y']",281.975196597542
1974,mp-9059,KLi6TaO6,4.3819,"{'Li': 6.0, 'O': 6.0, 'K': 1.0, 'Ta': 1.0}",14,0,"['K', 'Li', 'O', 'Ta']",145.560284865874
2130,mp-1206640,Rb2FeF4,3.0372,"{'Rb': 2.0, 'Fe': 1.0, 'F': 4.0}",7,0,"['F', 'Fe', 'Rb']",127.855380525009
2227,mp-18515,NaGdSiO4,3.2482,"{'O': 16.0, 'Na': 4.0, 'Si': 4.0, 'Gd': 4.0}",28,0,"['Gd', 'Na', 'O', 'Si']",376.185359611123
2266,mp-34418,AgPF6,3.229,"{'Ag': 1.0, 'F': 6.0, 'P': 1.0}",8,0,"['Ag', 'P', 'F']",140.873032483397
2279,mp-553884,Ba5Si(Br3O2)2,4.2625,"{'Ba': 10.0, 'Si': 2.0, 'Br': 12.0, 'O': 8.0}",32,0,"['Ba', 'Br', 'O', 'Si']",911.819258714592
2332,mp-6486,SrBPO5,5.3819,"{'B': 3.0, 'O': 15.0, 'P': 3.0, 'Sr': 3.0}",24,0,"['B', 'O', 'P', 'Sr']",287.823528881593
2384,mp-753206,Mg10FeO11,3.548,"{'Mg': 10.0, 'Fe': 1.0, 'O': 11.0}",22,0.000912127954547,"['Fe', 'Mg', 'O']",214.309315933831
2545,mp-1078671,Sr2CaWO6,3.4601,"{'Sr': 2.0, 'Ca': 1.0, 'W': 1.0, 'O': 6.0}",10,0,"['Ca', 'O', 'Sr', 'W']",143.802032406
2600,mp-1111110,K2LiScF6,6.7733,"{'K': 2.0, 'Li': 1.0, 'Sc': 1.0, 'F': 6.0}",10,0,"['F', 'K', 'Li', 'Sc']",142.410528736865
2718,mp-1221090,NaCaMg2F7,6.4682,"{'Na': 2.0, 'Ca': 2.0, 'Mg': 4.0, 'F': 14.0}",22,0.005797898863638,"['Ca', 'F', 'Mg', 'Na']",280.159443014782
2773,mp-19333,Fe2B2O5,3.4246,"{'B': 4.0, 'O': 10.0, 'Fe': 4.0}",18,0,"['B', 'Fe', 'O']",188.972067619314
2808,mp-4527,Li8SnO6,3.7846,"{'Li': 8.0, 'O': 6.0, 'Sn': 1.0}",15,0,"['Li', 'O', 'Sn']",136.686487948998
2853,mp-6459,CaMg(CO3)2,5.0105,"{'C': 2.0, 'O': 6.0, 'Mg': 1.0, 'Ca': 1.0}",10,0,"['Ca', 'Mg', 'C', 'O']",110.622004777608
2870,mp-7500,Na4SiO4,3.2221,"{'O': 8.0, 'Na': 8.0, 'Si': 2.0}",18,0,"['Na', 'O', 'Si']",237.930445608037
2964,mp-9726,SrBeF4,7.5245,"{'Be': 4.0, 'F': 16.0, 'Sr': 4.0}",24,0,"['Be', 'F', 'Sr']",312.308942429884
3015,mp-1066400,NaN3,4.1512,"{'Na': 1.0, 'N': 3.0}",4,0.0018895725,"['N', 'Na']",62.0014695900485
3022,mp-1078259,GaBO3,3.8603,"{'Ga': 2.0, 'B': 2.0, 'O': 6.0}",10,0.002734140666666,"['B', 'Ga', 'O']",88.8860208541652
3071,mp-1105952,NaFeSO4F,4.0198,"{'Na': 2.0, 'Fe': 2.0, 'S': 2.0, 'O': 8.0, 'F': 2.0}",16,0,"['F', 'Fe', 'Na', 'O', 'S']",202.146667286742
3146,mp-1190089,CsHf2Br9,3.1466,"{'Cs': 2.0, 'Hf': 4.0, 'Br': 18.0}",24,0,"['Br', 'Cs', 'Hf']",915.8162695164
3152,mp-1192126,Zn2TeMoO7,3.4489,"{'Zn': 4.0, 'Te': 2.0, 'Mo': 2.0, 'O': 14.0}",22,0,"['Mo', 'O', 'Te', 'Zn']",326.585224283125
3288,mp-17523,NaCrF4,3.0477,"{'Na': 4.0, 'Cr': 4.0, 'F': 16.0}",24,0,"['Cr', 'F', 'Na']",319.780399700419
3290,mp-18997,LiMnPO4,3.4115,"{'Li': 4.0, 'O': 16.0, 'P': 4.0, 'Mn': 4.0}",28,0,"['Li', 'Mn', 'O', 'P']",314.178041068174
3307,mp-26977,LiMn2P3O10,3.788,"{'Li': 2.0, 'O': 20.0, 'P': 6.0, 'Mn': 4.0}",32,0,"['Li', 'Mn', 'O', 'P']",380.287532148935
3326,mp-4929,KBF4,7.9328,"{'B': 4.0, 'F': 16.0, 'K': 4.0}",24,0,"['B', 'F', 'K']",350.982547383904
3341,mp-557115,Cs2As2OF10,3.9319,"{'Cs': 4.0, 'As': 4.0, 'O': 2.0, 'F': 20.0}",30,0.00518550266667,"['As', 'Cs', 'F', 'O']",564.744580866988
3347,mp-558631,Mn3(PO4)2,3.0007,"{'Mn': 6.0, 'P': 4.0, 'O': 16.0}",26,0.004800492692306,"['Mn', 'O', 'P']",326.457706776339
3422,mp-7594,CsLiF2,6.2725,"{'Cs': 4.0, 'Li': 4.0, 'F': 8.0}",16,0,"['Cs', 'F', 'Li']",301.952148128318
3429,mp-7638,LiTa3O8,3.3768,"{'Li': 2.0, 'O': 16.0, 'Ta': 6.0}",24,0,"['Li', 'O', 'Ta']",285.303819581393
3516,mp-1072193,ErOF,5.1887,"{'Er': 2.0, 'O': 2.0, 'F': 2.0}",6,0,"['Er', 'F', 'O']",78.7314102582509
3567,mp-1178149,K3MnPCO7,3.6181,"{'K': 6.0, 'Mn': 2.0, 'P': 2.0, 'C': 2.0, 'O': 14.0}",26,0,"['C', 'K', 'Mn', 'O', 'P']",390.38795349892
3632,mp-1207139,KRb2InF6,5.3651,"{'K': 1.0, 'Rb': 2.0, 'In': 1.0, 'F': 6.0}",10,0.007442198000001,"['F', 'In', 'K', 'Rb']",199.124713793819
3706,mp-1221953,MgNiO2,3.425,"{'Mg': 1.0, 'Ni': 1.0, 'O': 2.0}",4,0,"['Mg', 'Ni', 'O']",37.8908252102666
3734,mp-1227000,Cs2ZrAl2(MoO4)6,3.4461,"{'Cs': 2.0, 'Zr': 1.0, 'Al': 2.0, 'Mo': 6.0, 'O': 24.0}",35,0.003750662571436,"['Al', 'Cs', 'Mo', 'O', 'Zr']",629.864276460211
3783,mp-13182,Li2TiGeO5,3.4689,"{'Li': 4.0, 'O': 10.0, 'Ti': 2.0, 'Ge': 2.0}",18,0,"['Ge', 'Li', 'O', 'Ti']",201.886279408327
3785,mp-13541,Sr2Mg(BO3)2,4.5797,"{'B': 2.0, 'O': 6.0, 'Mg': 1.0, 'Sr': 2.0}",11,0,"['B', 'Mg', 'O', 'Sr']",128.869274944255
3787,mp-14168,K2GeF6,5.8903,"{'F': 12.0, 'K': 4.0, 'Ge': 2.0}",18,0,"['K', 'Ge', 'F']",283.3863824861
3841,mp-4417,Al2(SO4)3,6.0218,"{'O': 24.0, 'Al': 4.0, 'S': 6.0}",34,0,"['Al', 'O', 'S']",414.395148767708
3889,mp-6333,NaIn(SiO3)2,3.4821,"{'O': 12.0, 'Na': 2.0, 'Si': 4.0, 'In': 2.0}",20,0,"['In', 'Na', 'O', 'Si']",242.560617272669
3929,mp-759138,Li2MnFe(PO4)2,3.7376,"{'Li': 4.0, 'Mn': 2.0, 'Fe': 2.0, 'P': 4.0, 'O': 16.0}",28,0.00117088178573,"['Fe', 'Li', 'Mn', 'O', 'P']",307.397598594455
3954,mp-780387,YbHfO3,4.5175,"{'Yb': 4.0, 'Hf': 4.0, 'O': 12.0}",20,0,"['Hf', 'O', 'Yb']",252.087964831475
3955,mp-780499,Li2MnFe(BO3)2,3.0424,"{'Li': 4.0, 'Mn': 2.0, 'Fe': 2.0, 'B': 4.0, 'O': 12.0}",24,0.004853591805553,"['B', 'Fe', 'Li', 'Mn', 'O']",253.226215217613
3991,mp-998755,RbSrCl3,5.3416,"{'Rb': 2.0, 'Sr': 2.0, 'Cl': 6.0}",10,0.000364367,"['Cl', 'Rb', 'Sr']",374.232149891169
4011,mp-1025460,MgZrF6,6.5421,"{'Mg': 1.0, 'Zr': 1.0, 'F': 6.0}",8,0,"['F', 'Mg', 'Zr']",132.569000169293
4100,mp-1190949,Ba2ZnGe2O7,3.1017,"{'Ba': 4.0, 'Zn': 2.0, 'Ge': 4.0, 'O': 14.0}",24,0,"['Ba', 'Ge', 'O', 'Zn']",406.204010885058
4130,mp-1209133,RbY(WO4)2,3.3944,"{'Rb': 2.0, 'Y': 2.0, 'W': 4.0, 'O': 16.0}",24,0,"['O', 'Rb', 'W', 'Y']",334.726757039449
4209,mp-18897,NaVTeO5,3.0202,"{'O': 20.0, 'Na': 4.0, 'V': 4.0, 'Te': 4.0}",32,0,"['Na', 'O', 'Te', 'V']",469.894155320147
4273,mp-31050,Cl2O7,3.6544,"{'O': 14.0, 'Cl': 4.0}",18,0,"['Cl', 'O']",298.690850488231
4301,mp-510727,InTeO3F,3.1764,"{'In': 4.0, 'Te': 4.0, 'O': 12.0, 'F': 4.0}",24,0,"['F', 'In', 'O', 'Te']",369.077913548194
4308,mp-541662,Cs3Fe2F9,4.0305,"{'Cs': 6.0, 'Fe': 4.0, 'F': 18.0}",28,0,"['Cs', 'F', 'Fe']",547.868918741574
4328,mp-557912,Cs2MnF6,3.2329,"{'Cs': 2.0, 'Mn': 1.0, 'F': 6.0}",9,0,"['Cs', 'F', 'Mn']",191.492551417764
4333,mp-559240,Li2MnSiO4,3.0619,"{'Li': 4.0, 'Mn': 2.0, 'Si': 2.0, 'O': 8.0}",16,0,"['Li', 'Mn', 'O', 'Si']",175.66518972557
4339,mp-560387,Cs2Al2P2O9,4.9022,"{'Cs': 2.0, 'Al': 2.0, 'P': 2.0, 'O': 9.0}",15,0,"['Al', 'Cs', 'O', 'P']",261.651106314661
4342,mp-561446,BaCa(GaO2)4,3.0644,"{'Ba': 1.0, 'Ca': 1.0, 'Ga': 4.0, 'O': 8.0}",14,0,"['Ba', 'Ca', 'Ga', 'O']",202.954385037277
4343,mp-561480,NaNiF3,4.6108,"{'F': 12.0, 'Na': 4.0, 'Ni': 4.0}",20,0,"['Na', 'Ni', 'F']",235.48646770699
4358,mp-570538,NaN3,3.9425,"{'Na': 1.0, 'N': 3.0}",4,0.0018523225,"['Na', 'N']",59.674222772506
4409,mp-752955,WOF4,4.4111,"{'W': 1.0, 'O': 1.0, 'F': 4.0}",6,0,"['F', 'O', 'W']",101.122468568397
4480,mp-9167,SrCN2,3.6025,"{'C': 4.0, 'N': 8.0, 'Sr': 4.0}",16,0.005276074999999,"['C', 'N', 'Sr']",273.451110262165
4492,mp-9812,ZnCO3,3.5628,"{'C': 2.0, 'O': 6.0, 'Zn': 2.0}",10,0,"['Zn', 'C', 'O']",98.1393897943708
4546,mp-1103389,Sr3Ta2ZnO9,3.4432,"{'Sr': 3.0, 'Ta': 2.0, 'Zn': 1.0, 'O': 9.0}",15,0.009740290333321,"['O', 'Sr', 'Ta', 'Zn']",200.818534882465
4728,mp-26965,Li2CrP2O7,3.7041,"{'Li': 4.0, 'O': 14.0, 'P': 4.0, 'Cr': 2.0}",24,0,"['Cr', 'Li', 'O', 'P']",317.655091304917
4735,mp-28027,AsF3,5.3681,"{'F': 12.0, 'As': 4.0}",16,0,"['As', 'F']",286.027363836244
4770,mp-556237,KLiYF5,7.164,"{'K': 4.0, 'Li': 4.0, 'Y': 4.0, 'F': 20.0}",32,0.000396306458331,"['F', 'K', 'Li', 'Y']",456.636706581481
4771,mp-556418,AlSCl3O2,3.9568,"{'Al': 2.0, 'S': 2.0, 'Cl': 6.0, 'O': 4.0}",14,0,"['Al', 'Cl', 'O', 'S']",363.332664336379
4774,mp-558702,CsMnF3,3.4542,"{'F': 18.0, 'Mn': 6.0, 'Cs': 6.0}",30,0,"['Cs', 'F', 'Mn']",533.892850905102
4784,mp-568005,CsYbBr3,4.3502,"{'Yb': 1.0, 'Cs': 1.0, 'Br': 3.0}",5,0,"['Cs', 'Yb', 'Br']",188.853320241457
4790,mp-571124,Cs2KScCl6,4.0204,"{'Cs': 2.0, 'K': 1.0, 'Sc': 1.0, 'Cl': 6.0}",10,0,"['Cs', 'K', 'Sc', 'Cl']",338.948356798904
4793,mp-581162,Li3VO4,3.9381,"{'Li': 12.0, 'V': 4.0, 'O': 16.0}",32,0.0027699490625,"['Li', 'O', 'V']",365.392228818011
4794,mp-581795,Er2Te4O11,3.2348,"{'Er': 4.0, 'Te': 8.0, 'O': 22.0}",34,0.001026791102941,"['Er', 'O', 'Te']",501.271144979057
4970,mp-8812,Rb2GeF6,5.9669,"{'F': 6.0, 'Ge': 1.0, 'Rb': 2.0}",9,0,"['Rb', 'Ge', 'F']",166.337024529001
4971,mp-8961,Ba3NaTaO6,3.4197,"{'O': 12.0, 'Na': 2.0, 'Ba': 6.0, 'Ta': 2.0}",22,0,"['Ba', 'Na', 'O', 'Ta']",378.309457389766
4972,mp-9371,ErF3,7.6163,"{'F': 12.0, 'Er': 4.0}",16,0,"['Er', 'F']",199.191074322418
5210,mp-1211750,KAlBr4,4.2233,"{'K': 4.0, 'Al': 4.0, 'Br': 16.0}",24,0,"['Al', 'Br', 'K']",900.600994983237
5253,mp-1226138,Cs2W(OF2)2,3.1725,"{'Cs': 2.0, 'W': 1.0, 'O': 2.0, 'F': 4.0}",9,0,"['Cs', 'F', 'O', 'W']",183.436985549341
5290,mp-19083,NaVO3,3.2298,"{'O': 12.0, 'Na': 4.0, 'V': 4.0}",20,0,"['Na', 'V', 'O']",300.727478643421
5308,mp-28883,GeP2O7,3.8288,"{'O': 14.0, 'P': 4.0, 'Ge': 2.0}",20,0,"['Ge', 'O', 'P']",244.36195689264
5311,mp-29204,P4(S2O)3,3.2238,"{'O': 6.0, 'P': 8.0, 'S': 12.0}",26,0,"['O', 'P', 'S']",677.175978063919
5317,mp-3468,NaAsO2,3.7311,"{'O': 16.0, 'Na': 8.0, 'As': 8.0}",32,0,"['As', 'Na', 'O']",558.375245167391
5318,mp-3575,Ca3(BO3)2,4.8226,"{'B': 4.0, 'O': 12.0, 'Ca': 6.0}",22,0,"['B', 'Ca', 'O']",262.737966734584
5321,mp-41191,Na3Ti2P2O10F,3.2016,"{'F': 1.0, 'Na': 3.0, 'O': 10.0, 'P': 2.0, 'Ti': 2.0}",18,0.005205471786267,"['F', 'Na', 'O', 'P', 'Ti']",226.955270869378
5335,mp-556996,K2LiAlF6,7.2639,"{'K': 6.0, 'Li': 3.0, 'Al': 3.0, 'F': 18.0}",30,3.51753333331928E-05,"['Al', 'F', 'K', 'Li']",391.191034206026
5434,mp-768941,Sr3TeO6,3.0351,"{'Sr': 6.0, 'Te': 2.0, 'O': 12.0}",20,0,"['O', 'Sr', 'Te']",307.389938571627
5851,mp-554818,KTe3O6F,3.0687,"{'K': 2.0, 'Te': 6.0, 'O': 12.0, 'F': 2.0}",22,0,"['F', 'K', 'O', 'Te']",381.953539483718
5853,mp-555903,Al(IO3)3,3.3364,"{'Al': 2.0, 'I': 6.0, 'O': 18.0}",26,0,"['Al', 'I', 'O']",383.846208295812
6126,mp-1204916,K2FeF5,3.7084,"{'K': 8.0, 'Fe': 4.0, 'F': 20.0}",32,0.001334449374999,"['F', 'Fe', 'K']",508.387479077262
6239,mp-12355,Sr2YTaO6,3.8343,"{'O': 12.0, 'Sr': 4.0, 'Y': 2.0, 'Ta': 2.0}",20,0,"['O', 'Sr', 'Ta', 'Y']",289.590014308731
6275,mp-14871,Li16Ta2N8O,3.4034,"{'Li': 16.0, 'N': 8.0, 'O': 1.0, 'Ta': 2.0}",27,0,"['Li', 'N', 'O', 'Ta']",265.685415042566
6308,mp-21331,K2RbGdV2O8,3.3869,"{'O': 8.0, 'K': 2.0, 'V': 2.0, 'Rb': 1.0, 'Gd': 1.0}",14,0,"['Gd', 'K', 'O', 'Rb', 'V']",250.464660701777
6336,mp-28658,Na2CdCl4,3.6352,"{'Na': 4.0, 'Cl': 8.0, 'Cd': 2.0}",14,0.008163065,"['Cd', 'Cl', 'Na']",344.525274014943
6369,mp-559759,CaAlBO4,4.6961,"{'Ca': 4.0, 'Al': 4.0, 'B': 4.0, 'O': 16.0}",28,0,"['Al', 'B', 'Ca', 'O']",373.587401669594
6385,mp-6015,LiSiNO,5.2547,"{'Li': 4.0, 'N': 4.0, 'O': 4.0, 'Si': 4.0}",16,0,"['Li', 'N', 'O', 'Si']",161.657498150404
6390,mp-6553,LiSc(SiO3)2,4.9197,"{'Li': 2.0, 'O': 12.0, 'Si': 4.0, 'Sc': 2.0}",20,0.001187567499997,"['Li', 'O', 'Sc', 'Si']",229.008250490749
6416,mp-756044,Na3AsO4,3.2297,"{'Na': 6.0, 'As': 2.0, 'O': 8.0}",16,0,"['As', 'Na', 'O']",245.283712900964
6492,mp-985570,SiO2,5.599,"{'Si': 8.0, 'O': 16.0}",24,0.009712862083333,"['O', 'Si']",352.937772527727
6516,mp-1029602,Sc2(CN2)3,3.311,"{'Sc': 4.0, 'C': 6.0, 'N': 12.0}",22,0,"['C', 'N', 'Sc']",304.983958058783
6603,mp-1190151,Sr3LiSbO6,3.2469,"{'Sr': 6.0, 'Li': 2.0, 'Sb': 2.0, 'O': 12.0}",22,0,"['Li', 'O', 'Sb', 'Sr']",318.408949795593
6606,mp-1190647,Ge3F8,4.3037,"{'Ge': 6.0, 'F': 16.0}",22,0,"['F', 'Ge']",320.059345622929
6608,mp-1192743,SrGePbO4,3.4908,"{'Sr': 4.0, 'Ge': 4.0, 'Pb': 4.0, 'O': 16.0}",28,0,"['Ge', 'O', 'Pb', 'Sr']",453.123011770917
6655,mp-1213231,CsY(MoO4)2,4.0166,"{'Cs': 1.0, 'Y': 1.0, 'Mo': 2.0, 'O': 8.0}",12,0,"['Cs', 'Mo', 'O', 'Y']",271.376144171194
6677,mp-1222344,LiTaGeO5,3.7465,"{'Li': 2.0, 'Ta': 2.0, 'Ge': 2.0, 'O': 10.0}",16,0.0011308,"['Ge', 'Li', 'O', 'Ta']",207.640657689851
6693,mp-1227399,Ca2MgFe(SiO3)4,3.4078,"{'Ca': 2.0, 'Mg': 1.0, 'Fe': 1.0, 'Si': 4.0, 'O': 12.0}",20,0.004576391625001,"['Ca', 'Fe', 'Mg', 'O', 'Si']",231.305135192487
6725,mp-18480,Na3Ca2TaO6,4.244,"{'O': 12.0, 'Na': 6.0, 'Ca': 4.0, 'Ta': 2.0}",24,0,"['Ca', 'Na', 'O', 'Ta']",315.496246695797
