,task_id,pretty_formula,band_gap,unit_cell_formula,nsites,e_above_hull,elements,volume
84867,mp-557012,Li3Sc(BO3)2,4.5494,"{'Li': 6.0, 'Sc': 2.0, 'B': 4.0, 'O': 12.0}",24,0,"['B', 'Li', 'O', 'Sc']",238.613839116594
85005,mp-1025456,CaZrF6,6.6727,"{'Ca': 1.0, 'Zr': 1.0, 'F': 6.0}",8,0,"['Ca', 'Zr', 'F']",160.581057272167
85052,mp-1111080,K3GaF6,5.8061,"{'K': 3.0, 'Ga': 1.0, 'F': 6.0}",10,0,"['F', 'Ga', 'K']",173.827597295248
85193,mp-1211678,KBeF3,7.0581,"{'K': 4.0, 'Be': 4.0, 'F': 12.0}",20,0,"['Be', 'F', 'K']",305.56424542848
85278,mp-1228063,Ba3TiAl10O20,3.2014,"{'Ba': 3.0, 'Ti': 1.0, 'Al': 10.0, 'O': 20.0}",34,0.007036871963233,"['Al', 'Ba', 'O', 'Ti']",434.562927714257
85311,mp-16136,Sr3TaGa3(SiO7)2,3.8553,"{'O': 14.0, 'Si': 2.0, 'Ga': 3.0, 'Sr': 3.0, 'Ta': 1.0}",23,0,"['Ga', 'O', 'Si', 'Sr', 'Ta']",314.357937890822
85324,mp-22628,CsNO3,3.0696,"{'N': 2.0, 'O': 6.0, 'Cs': 2.0}",10,0.006010940777776,"['Cs', 'N', 'O']",186.485378093636
85350,mp-36526,AcOF,4.2614,"{'Ac': 1.0, 'F': 1.0, 'O': 1.0}",3,0,"['Ac', 'O', 'F']",53.3503106713762
85356,mp-504827,Ga10GePb3O20,3.0294,"{'Pb': 3.0, 'Ge': 1.0, 'Ga': 10.0, 'O': 20.0}",34,0,"['Ga', 'Ge', 'O', 'Pb']",460.347040190523
85373,mp-561538,MgVBiO5,3.1101,"{'Mg': 4.0, 'V': 4.0, 'Bi': 4.0, 'O': 20.0}",32,0,"['Bi', 'Mg', 'O', 'V']",466.966730900787
85381,mp-5707,CsAsF4,4.6201,"{'F': 8.0, 'As': 2.0, 'Cs': 2.0}",12,0,"['As', 'Cs', 'F']",268.740193627064
85553,mp-1105915,CsSnF3,3.8484,"{'Cs': 4.0, 'Sn': 4.0, 'F': 12.0}",20,0,"['Cs', 'F', 'Sn']",483.022756694226
85557,mp-1112628,Cs2YInCl6,3.3996,"{'Cs': 2.0, 'Y': 1.0, 'In': 1.0, 'Cl': 6.0}",10,0.00933821528125,"['Cl', 'Cs', 'In', 'Y']",374.783470456719
85650,mp-1214420,BaHfF6,7.1463,"{'Ba': 2.0, 'Hf': 2.0, 'F': 12.0}",16,0,"['Ba', 'F', 'Hf']",247.066396051892
85651,mp-1215975,YSn2BiO7,3.1046,"{'Y': 2.0, 'Sn': 4.0, 'Bi': 2.0, 'O': 14.0}",22,0.00343672776515,"['Bi', 'O', 'Sn', 'Y']",299.92393192435
85768,mp-20282,CsPbF3,3.3457,"{'F': 6.0, 'Cs': 2.0, 'Pb': 2.0}",10,0,"['Cs', 'F', 'Pb']",232.146781986967
85784,mp-23024,SrBrF,5.0003,"{'F': 2.0, 'Br': 2.0, 'Sr': 2.0}",6,0,"['Sr', 'Br', 'F']",135.974479137053
85796,mp-27154,Rb2CrF5,3.4235,"{'F': 20.0, 'Cr': 4.0, 'Rb': 8.0}",32,0,"['Cr', 'F', 'Rb']",554.185958163705
85804,mp-28600,Rb2FeF5,3.6931,"{'F': 20.0, 'Fe': 4.0, 'Rb': 8.0}",32,0,"['F', 'Fe', 'Rb']",559.921273992247
85813,mp-30034,MgBr2,4.4707,"{'Mg': 1.0, 'Br': 2.0}",3,0,"['Mg', 'Br']",91.8275355528768
85815,mp-30219,KGaCl4,4.3612,"{'Cl': 16.0, 'K': 4.0, 'Ga': 4.0}",24,0,"['Cl', 'Ga', 'K']",756.038482006863
85816,mp-30299,RbAsO2,3.8842,"{'O': 8.0, 'As': 4.0, 'Rb': 4.0}",16,0,"['As', 'O', 'Rb']",341.032055764313
85861,mp-556488,RbNiF3,4.6928,"{'F': 18.0, 'Ni': 6.0, 'Rb': 6.0}",30,0,"['F', 'Ni', 'Rb']",441.739833243777
85864,mp-557676,LiGa(MoO4)2,3.551,"{'Li': 2.0, 'Ga': 2.0, 'Mo': 4.0, 'O': 16.0}",24,0.008507264907411,"['Ga', 'Li', 'Mo', 'O']",330.880965445256
85915,mp-733,GeO2,3.2511,"{'O': 6.0, 'Ge': 3.0}",9,0,"['Ge', 'O']",129.144563313155
85943,mp-761033,Hf3N2O3,3.1617,"{'Hf': 6.0, 'N': 4.0, 'O': 6.0}",16,0,"['Hf', 'N', 'O']",224.844685093858
85990,mp-985590,SiO2,5.5161,"{'Si': 8.0, 'O': 16.0}",24,0.004114588333334,"['O', 'Si']",389.023603915875
86133,mp-1213392,CsGd(MoO4)2,3.0777,"{'Cs': 2.0, 'Gd': 2.0, 'Mo': 4.0, 'O': 16.0}",24,0,"['Cs', 'Gd', 'Mo', 'O']",414.070366553279
86178,mp-1225927,CsMgGaF6,5.4755,"{'Cs': 2.0, 'Mg': 2.0, 'Ga': 2.0, 'F': 12.0}",18,0,"['Cs', 'F', 'Ga', 'Mg']",282.260386046295
86225,mp-2659,LiN3,3.6497,"{'Li': 1.0, 'N': 3.0}",4,0,"['Li', 'N']",45.4173189999725
86231,mp-28567,LiBiF4,4.8641,"{'Bi': 2.0, 'Li': 2.0, 'F': 8.0}",12,0,"['Li', 'Bi', 'F']",162.416922295756
86261,mp-554542,Mg3B(OF)3,5.4164,"{'Mg': 6.0, 'B': 2.0, 'O': 6.0, 'F': 6.0}",20,0,"['B', 'F', 'Mg', 'O']",215.441144531925
86288,mp-561005,SrBi6(PO5)4,3.5011,"{'Sr': 1.0, 'Bi': 6.0, 'P': 4.0, 'O': 20.0}",31,0,"['Bi', 'O', 'P', 'Sr']",440.442328485535
86355,mp-674508,RbPbF3,3.8135,"{'Rb': 2.0, 'Pb': 2.0, 'F': 6.0}",10,0,"['F', 'Pb', 'Rb']",218.24955612952
86387,mp-7029,SiO2,5.5088,"{'O': 8.0, 'Si': 4.0}",12,0.003005180000001,"['O', 'Si']",183.244602120719
86601,mp-1193173,Cs2ZnBr4,3.8234,"{'Cs': 8.0, 'Zn': 4.0, 'Br': 16.0}",28,0,"['Br', 'Cs', 'Zn']",1167.17176605335
86621,mp-1205629,Cs3FeF6,3.952,"{'Cs': 3.0, 'Fe': 1.0, 'F': 6.0}",10,0,"['Cs', 'F', 'Fe']",221.833440533542
86640,mp-1213783,Cs2YCl5,4.7551,"{'Cs': 8.0, 'Y': 4.0, 'Cl': 20.0}",32,0,"['Cl', 'Cs', 'Y']",1162.96394113469
86668,mp-1222009,MgMnB2O5,3.4878,"{'Mg': 2.0, 'Mn': 2.0, 'B': 4.0, 'O': 10.0}",18,0,"['B', 'Mg', 'Mn', 'O']",186.424239945088
86696,mp-12317,SrCN2,3.2178,"{'C': 1.0, 'N': 2.0, 'Sr': 1.0}",4,0,"['Sr', 'C', 'N']",70.384014689917
86733,mp-27231,Li2TeO3,3.6484,"{'Li': 8.0, 'O': 12.0, 'Te': 4.0}",24,0,"['Li', 'O', 'Te']",353.294639228927
86766,mp-546757,Sn3PO4F3,3.7957,"{'F': 3.0, 'Sn': 3.0, 'O': 4.0, 'P': 1.0}",11,0,"['F', 'O', 'P', 'Sn']",201.598337166656
86769,mp-553938,KGd(WO4)2,3.1253,"{'K': 2.0, 'Gd': 2.0, 'W': 4.0, 'O': 16.0}",24,0.000348271249999,"['Gd', 'K', 'O', 'W']",334.167631764659
